quantity_in_kg,state,facility_name,site_address_suburb,site_latitude,site_longitude
2753.65,VIC,VICTORIA INTERNATIONAL CONTAINER TERMINAL LIMITED,Port Melbourne,-37.84799,144.91436
33430,WA,Iluka - North Capel,Capel,-33.514167,115.588056
373.4662991,VIC,Visy Board Wodonga,Wodonga,-36.107647,146.829057
66588.7144,QLD,Foxleigh,Middlemount,-22.98347,148.77843
138.7,NSW,Rheem Rydalmere,Rydalmere,-33.815333,151.029417
329,WA,Geraldton Dry Plant,Narngulu,-28.807778,114.670833
1365.2,WA,Nickel West Kambalda Concentrator,Kambalda East,-31.19,121.671
4365,WA,Cliffs Nickel Project,Sir Samuel,-27.305833,120.546944
1300.383,WA,Kemerton Processing Plant,Wellesley,-33.216667,115.755278
4022,SA,Beverley Uranium Mine,Via Copley,-30.191389,139.590556
166.1403,QLD,Hemmant Feedmill,Hemmant,-27.44212,153.133349
145.624,VIC,Echuca,Echuca,-36.147267,144.771159
286.423,VIC,Kenworth Trucks,Bayswater North,-37.821712,145.299242
92.7229,NSW,Milne Compressor Station,Condobolin,-33.3891,147.033
2410.521457,WA,Thomas Rail Yard,Boodarie,-20.512575,118.5882479
0.2,VIC,Parwan South RWP,Parwan,-37.72165,144.469683
316.3344445,VIC,Visy Board Dandenong,Dandenong,-38.010899,145.206081
258.17376,NSW,LMS Kincumber Waste Management Facility,Kincumber,-33.477316,151.402635
694.406,NSW,Tooheys Brewery Lidcombe,Lidcombe,-33.84974,151.046379
30686.6,NT,Grants Lithium Developments,Cox Peninsula,-12.66121,130.77669
258.21,VIC,IRREWARRA,Irrewarra,-38.3168471,143.6489414
95.8644,VIC,ITW Buildex,Moorabbin,-37.937174,145.06275
4455.94,VIC,TT-Line Geelong Port,North Geelong,-38.10655,144.35951
80.0404,VIC,Caulfield Hospital,Caulfield,-37.882289,145.01571
900.6389,WA,Riverina-Mulline Project,Menzies,-29.7458,120.5669
226135,QLD,Stanwell Power Station,Gracemere,-23.508888,150.317777
255.85519,WA,Bentley Campus,Bentley,-32.005,115.895
846.5605,QLD,Handlebar Hill Open Cut Mine,Mount Isa,-20.5655,139.47278
2857.942,QLD,Mica Creek Power Station,Mount Isa,-20.7775,139.4905
47.5921,WA,Picton Plant,Picton,-33.351389,115.702222
9125.7513,WA,Leonora Operations,Leonora,-28.9175,121.332222
16600,QLD,Meteor Downs South Mine,Meteor Downs,-24.4194042,148.3648286
3128.79,VIC,AGL Somerton Power Station,Somerton,-37.629781,144.950082
2984.549,QLD,Bowen Rail Company Pty Ltd / Rail Provisioning Yard,Bowen,-20.01542,148.2419
119.05958,NSW,Buronga Hill Winery,Buronga,-34.153503,142.180365
11487.17,WA,Lake Way Potash Project,Wiluna,-26.74728774,120.236603
4809.448012,QLD,Pajingo Operations,Charters Towers,-20.536664,146.457631
6532.188,WA,Nullagine Gold Project,Nullagine,-21.95694,120.1375
25839.18,SA,Jacinth-Ambrosia Mine,Nullarbor,-30.905,132.215
8662.112,WA,Leinster Power Station,Leinster,-27.915833,120.696389
3261.12,NT,Pirlangimpi Community Power Station,Pularumpi,-11.408617,130.41876
904.266,NT,Minyerri Community Power Station,Minyeeri Community,-15.222769,134.077477
814.869,NT,PAPUNYA POWER STATION,Papunya,-17.439956,130.827776
41949.5576,QLD,Newlands Coal,Glenden,-21.211524,147.897182
70910,NSW,Yancoal - Moolarben,Ulan,-32.281574,149.764731
23765.752,WA,Jundee Operations,Wiluna,-26.344444,120.629722
237,NSW,Mawsons Western Riverina Quarry,Rankins Springs,-33.79497,146.0834
1101.23623,NT,Tennant Creek Power Station,Tennant Creek Roadside Delivery,-19.654869,134.175775
8117.19237,WA,Boodarie Iron Plant Site,Boodarie,-20.38,118.537778
80.11,WA,Alcoa Wagerup Meter Station,Wagerup,-32.922778,115.912778
177.25,WA,"Compressor 1, GGP Interconnect and FRGP interconnect",Mardie,-21.450278,115.953889
370.37,WA,Compressor Station 2,Nanutarra,-22.47,115.246944
389.41,WA,Compressor Station 8,Eneabba,-29.887222,115.36
2.19,WA,Kemerton Meter Station,Wellesley,-33.223611,115.77
13969.01,WA,Big Bell Mine Operations,Cue,-27.319444,117.656944
5643.466,NSW,Northparkes Mines,Goonumbla Via Parkes,-32.898451,148.051197
15841.9,QLD,RGT,Gladstone,-23.82747992,151.2350166
221,VIC,BOEING AEROSTRUCTURES AUSTRALIA PTY LIMITED,Port Melbourne,-37.829911,144.902516
1929.52,WA,Macedon Gas Project,Talandji,-21.732,114.979
